Queue ID,Original Inspection Record ID,Style ID,Style,Color,Line Name,Defect Name EN,Pieces Count,Date Sent to Alter,Status,Reinspection DateTime,Reinspection Result,Reinspection Defect,TAT Hours,Checker Name,Customer,PO,Item Type
37,192.0,3413715 MAGENTA DREAM,3413715,MAGENTA DREAM,SF-5,Jump Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
38,194.0,3413715 MAGENTA DREAM,3413715,MAGENTA DREAM,SF-5,Wrong Shape,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
39,209.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Raw Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
40,216.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Pinching,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
41,217.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Wrong Shape,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
42,224.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Raw Edge / Margin,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
43,228.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Down Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
44,231.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Down Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
45,232.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Raw Edge / Margin,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
46,242.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Down Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
47,251.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Uneven Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
48,260.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Down Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
49,287.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Wrong Shape,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
50,299.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Down Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
51,325.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Broken Stitch,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
52,328.0,3413715 SHADOWED NAVY,3413715,SHADOWED NAVY,SF-5,Uneven Gaping,1,25/3/2026,Re-Inspected Pass,,,,,Nawab,Street One,346765,Blouse
